"fdc_id","brand_description","expiration_date","label_weight","location","acquisition_date","sales_type","sample_lot_nbr","sell_by_date","store_city","store_name","store_state","upc_code","acquisition_number"
"320006","CULINARIA ALL NATURAL HUMMUS","2015-11-04","","IN1","2015-09-29","","8:25:00 AM","","NEWBURGH","SCHUNUCK MARKET","IN","41318091397","NFY1212KZ"
"320007","CULINARIA ALL NATURAL HUMMUS","2015-11-04","","IN1","2015-09-29","","8:25:00 AM","","NEWBURGH","SCHUNUCK MARKET","IN","41318091397","NFY1212L0"
"320008","CULINARIA ALL NATURAL HUMMUS","2015-11-04","","IN1","2015-09-29","","8:25:00 AM","","NEWBURGH","SCHUNUCK MARKET","IN","41318091397","NFY1212L1"
"320009","CEDARS ALL NATURAL HUMMUS","2015-12-07","","AZ1","2015-09-27","","10:48:00 AM","","TUCSON","BASHAS MARKET","AZ","44115412013","NFY1212L3"
"320010","CEDARS ALL NATURAL HUMMUS","2015-12-07","","AZ1","2015-09-27","","10:48:00 AM","","TUCSON","BASHAS MARKET","AZ","44115412013","NFY1212L4"
"320026","HEB 2% MILK","2018-04-25","","TX1","2018-04-08","","PT9 C1 481841","","HOUSTON ","HEB","TX","041220628711","NFY121QEZ"
"320032","LUCERNE 2 % MILK","2018-04-22","","CA2","2018-04-08","","0942 J 06-2796","","BONITA","VONS MARKET","CA","021130070114","NFY121QEX"
"320038","MILK 2% GREAT VALUE","2018-05-02","","NE1","2018-04-15","","1491913","","HASTINGS","WALMART","NE","78742352015","NFY121QGV"
"320044","FAREWAY MILK 2%","2018-04-23","","IA","2018-04-07","","46-138 0121 092","","ESTHERVILLE","FAREWAY","IA","078742351872","NFY121QF4"
"320063","GREAT VALUE, MILK 2%","2018-04-24","","KY1","2018-04-08","","AG1 21008","","HARRODSBURG","WALMART","KY","78742351872","NFY121QEP"
"320086","SHOPRITE 2% MILK","2018-04-19","","NJ1","2018-04-08","","431","","NEW BRUNSWICK","SAKER SHOPRITE","NJ","41190458004","NFY121QES"
"320105","ALTA DENA DAIRY PURE, 2% MILK","2018-04-29","","CA1","2018-04-16","","F3 PLT 06102041","","PALMDALE","WALMART","CA","41900076634","NFY121QGX"
"320125","UNITED 2% MILK","2018-04-23","","PA1","2018-04-07","","3986 1932","","PITTSBURGH","SHOP N SAVE","PA","071580000315","NFY121QF8"
"320144","PRAIRIE FARMS, 2% MILK","2018-05-01","","IN1","2018-04-15","","15021855","","NEWBURGH","SCHNUCK MARKET","IN","72730222021","NFY121QGP"
"320166","LAURA LYNN 2% MILK","2018-04-24","","GA1","2018-04-16","","E0921","","LOCUST GROVE","INGLES","GA","086854009185","NFY121QHB"
"320173","GREAT VALUE, 2% MILK","2018-05-07","","TX2","2018-04-23","","124835F254","","GRAPEVINE","WALMART","TX","NFY121QIT","NFY121QIT"
"320180","SUNNYSIDE FARMS 2% MILK","2018-05-06","","CA3","2018-04-24","","L3PLT067071640","","LIVERMORE","LUCKY","CA","717544204916","NFY121QJ4"
"320186","HARRIS TEETER, 2% MILK","2018-05-03","","NC2","2018-04-23","","3708713543","","CHARLOTTE","HARRIS TEETER","NC","072036639998","NFY121QJ9"
"320192","SE GROCERS, 2% MILK","2018-05-07","","FL1","2018-04-23","","1107IAF11297","","NEW PORT RICKEY","WINN DIXIE","FL","38259101131","NFY121QIZ"
"320198","STOP AND SHOP 2% MILK","2018-05-10","","NY1","2018-04-30","","341594258","","EAST MEADOW","STOP AND SHOP","NY","688267008634","NFY121QJF"
"320204","LUCERNE 2 % MILK","2018-05-17","","CO1","2018-04-30","","810HB1507","","PEYTON","SAFEWAY","CO","21130070671","NFY121QJJ"
"320211","MARKET PANTRY 2% MILK","2018-05-07","","TN","2018-04-22","","111347125JG","","MEMPHIS","TARGET","TN","085239284025","NFY121QJD"
"320231","FOOD LION 2% MILK","2018-05-02","","NC1","2018-04-16","","A1425 37102","","ROANOKE RAPIDS","FOOD LION","NC","035826089779","NFY121QH3"
"320254","BASHAS 2% MILK","2018-05-01","","AZ1","2018-04-15","","1638 TCRN","","TUCSON","BASHAS MARKET","AZ","031903000804","NFY121QH4"
"320276","DEANS 2% DAIRY PURE","2018-05-09","","IL1","2018-04-23","","17383201435","","CHICAGO","JEWEL","IL","041900076634","NFY121QIW"
"320299","QFC 2% MILK","2018-05-12","","WA1","2018-04-29","","41452146C2","","SEATTLE","QFC","WA","11110415646","NFY121QJP"
"320308","HOOD 2% MILK","2018-05-11","","MA","2018-04-29","","9383303","","READING","STOP AND SHOP","MA","44100102936","NFY121QJX"
"320314","KEMPS SELECT 2% MILK","2018-05-15","","MN","2018-04-29","","271681750","","MINNEAPOLIS","CUB FOODS","MN","41483021779","NFY121QJT"
"320333","MEIJER 2% MILK","2018-05-22","","MI1","2018-05-07","","JPR26784","","COMMERCE","MEIJER","MI","41250102113","NFY121QTQ"
"320354","Select","","","","2011-07-12","Point of Production","","","Green Bay","Smithfield Beef Group","WI","","ER37-R-5"
"320355","Select","","","","2011-07-12","Point of Production","","","Green Bay","Smithfield Beef Group","WI","","ES36-R-5"
"320358","Select","","","","2011-07-08","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO","","ER37-R-10 "
"320359","Select","","","","2011-07-08","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO","","ER37-R-11 "
"320360","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS","","ER37-R-16 "
"320361","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS","","ER37-R-17 "
"320362","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS","","ER37-R-18 "
"320363","Select","","","","2011-07-26","Point of Production","","","Corpus Christi","Sam Kane Beef Processors","TX","","ER37-R-22"
"320364","Select","","","","2011-07-14","Point of Production","","","Green Bay","Smithfield Beef Group","WI","","ER37-R-23"
"320365","Select","","","","2011-07-14","Point of Production","","","Plainview","Cargill Meat Solutions","TX","","ER37-R-28"
"320366","Select","","","","2011-07-14","Point of Production","","","Plainview","Cargill Meat Solutions","TX","","ER37-R-29"
"320367","Select","","","","2011-07-14","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE","","ER37-R-35"
"320368","Select","","","","2011-07-14","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE","","ER37-R-36"
"320369","Select","","","","2011-07-08","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO","","ES36-R-10 "
"320370","Select","","","","2011-07-08","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO","","ES36-R-11 "
"320371","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS","","ES36-R-16 "
"320372","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS","","ES36-R-17 "
"320373","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS","","ES36-R-18 "
"320374","Select","","","","2011-07-26","Point of Production","","","Corpus Christi","Sam Kane Beef Processors","TX","","ES36-R-22"
"320375","Select","","","","2011-07-14","Point of Production","","","Green Bay","Smithfield Beef Group","WI","","ES36-R-23"
"320376","Select","","","","2011-07-14","Point of Production","","","Plainview","Cargill Meat Solutions","TX","","ES36-R-28"
"320377","Select","","","","2011-07-14","Point of Production","","","Plainview","Cargill Meat Solutions","TX","","ES36-R-29"
"320378","Select","","","","2011-07-14","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE","","ES36-R-35"
"320379","Select","","","","2011-07-14","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE","","ES36-R-36"
"320414","SHOP RITE GRAPE TOMATOES","","","NJ1","2016-05-15","","01451083","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190037759","NFY1218QT"
"320415","SHOP RITE GRAPE TOMATOES","","","NJ1","2016-05-15","","01451087","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190037759","NFY1218QU"
"320419","WHOLESUM HARVEST ORGANIC GRAPE TOMATOES","","1","AZ1","2016-05-15","","","","TUCSON","BASHAS MARKET","AZ","741243002894","NFY1218Q8"
"320420","WHOLESUM HARVEST ORGANIC GRAPE TOMATOES","","1","AZ1","2016-05-15","","","","TUCSON","BASHAS MARKET","AZ","741243002894","NFY1218Q9"
"320424","DIMARE MR. TASTY GRAPE TOMATOES","","","GA1","2016-05-17","","","","LOCUST GROVE","INGLES SUPERMARKET","GA","33383655857","NFY1218QP"
"320425","DIMARE MR. TASTY GRAPE TOMATOES","","","GA1","2016-05-17","","","","LOCUST GROVE","INGLES SUPERMARKET","GA","33383655857","NFY1218QQ"
"320429","SANTA SWEETS ORGANIC GRAPE TOMATOES","","1","IN1","2016-05-17","","","","NEWBURGH","SCHNUCK MARKET","IN","716310521844","NFY1218QL"
"320430","SANTA SWEETS ORGANIC GRAPE TOMATOES","","1","IN1","2016-05-17","","","","NEWBURGH","SCHNUCK MARKET","IN","716310521844","NFY1218QM"
"320434","SUNFRESH GRAPE TOMATOES","","","PA1","2016-05-15","","","","PITTSBURGH","SHOP N SAVE","PA","33383655857","NFY1218QC"
"320435","SUNFRESH GRAPE TOMATOES","","","PA1","2016-05-15","","","","PITTSBURGH","SHOP N SAVE","PA","33383655857","NFY1218QD"
"320439","SANTA SWEETS ORGANIC GRAPE TOMATOES","","1","NE1","2016-05-15","","","","HASTINGS","WALMART SUPERCENTER","NE","716310961848","NFY1218QX"
"320440","SANTA SWEETS ORGANIC GRAPE TOMATOES","","1","NE1","2016-05-15","","","","HASTINGS","WALMART SUPERCENTER","NE","716310961848","NFY1218QY"
"320444","SANTA SWEETS ORGANIC GRAPE TOMATOES","","1","NE1","2016-05-15","","","","HASTINGS","WALMART SUPERCENTER","NE","716310961848","NFY1218QV"
"320445","SANTA SWEETS ORGANIC GRAPE TOMATOES","","1","NE1","2016-05-15","","","","HASTINGS","WALMART SUPERCENTER","NE","716310961848","NFY1218QW"
"320446","FRESH FROM THE FARM GRAPE TOMATOES*","","1","NC1","2016-05-14","","","","ROANOKE RAPIDS","WALMART SUPERCENTER","NC","848571000070","NFY1218PV"
"320447","FRESH FROM THE FARM GRAPE TOMATOES*","","1","NC1","2016-05-14","","","","ROANOKE RAPIDS","WALMART SUPERCENTER","NC","848571000070","NFY1218PW"
"320452","WHOLESUM HARVEST ORGANIC GRAPE TOMATOES","","1","AZ1","2016-05-15","","","","TUCSON","BASHAS MARKET","AZ","741243002894","NFY1218Q6"
"320453","WHOLESUM HARVEST ORGANIC GRAPE TOMATOES","","1","AZ1","2016-05-15","","","","TUCSON","BASHAS MARKET","AZ","741243002894","NFY1218Q7"
"320454","SANTA SWEETS ORGANIC GRAPE TOMATOES","","1","IN1","2016-05-17","","","","NEWBURGH","SCHNUCK MARKET","IN","716310521844","NFY1218QJ"
"320455","SANTA SWEETS ORGANIC GRAPE TOMATOES","","1","IN1","2016-05-17","","","","NEWBURGH","SCHNUCK MARKET","IN","716310521844","NFY1218QK"
"320461","SHOP RITE GRAPE TOMATOES","","","NJ1","2016-05-15","","0145108","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190037759","NFY1218QR"
"320462","SHOP RITE GRAPE TOMATOES","","","NJ1","2016-05-15","","0145108","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190037759","NFY1218QS"
"320463","DIMARE MR. TASTY GRAPE TOMATOES","","","GA1","2016-05-17","","","","LOCUST GROVE","INGLES SUPERMARKET","GA","33383655857","NFY1218QN"
"320464","DIMARE MR. TASTY GRAPE TOMATOES","","","GA1","2016-05-17","","","","LOCUST GROVE","INGLES SUPERMARKET","GA","33383655857","NFY1218QO"
"320477","HOUWELINGS GRAPE TOMATOES","","","CA1","2016-05-14","","","","PALMDALE ","SAMS CLUB","CA","816239012321","NFY1218QE"
"320481","SUNFRESH GRAPE TOMATOES","","","PA1","2016-05-15","","","","PITTSBURGH","GIANT EAGLE MARKET","PA","33383655857","NFY1218QA"
"320482","SUNFRESH GRAPE TOMATOES","","","PA1","2016-05-15","","","","PITTSBURGH","SHOP N SAVE","PA","33383655857","NFY1218QB"
"320486","FRESH FROM THE FARM GRAPE TOMATOES*","","1","KY1","2016-05-17","","","","HARRODSBURG","WALMART SUPERCENTER","KY","848571000070","NFY1218Q5"
"320490","FRESH FROM THE FARM GRAPE TOMATOES*","","1","NC1","2016-05-14","","","","ROANOKE RAPIDS","WALMART SUPERCENTER","NC","848571000070","NFY1218PX"
"320491","FRESH FROM THE FARM GRAPE TOMATOES*","","1","NC1","2016-05-14","","","","ROANOKE RAPIDS","WALMART SUPERCENTER","NC","848571000070","NFY1218PY"
"320495","LIPMAN FAMILY FARMS GRAPE TOMATOES","","1","IA","2016-05-14","","","","ESTHERVILLE ","FAREWAY STORE","IA","33383655857","NFY1218QH"
"320496","LIPMAN FAMILY FARMS GRAPE TOMATOES","","1","IA","2016-05-14","","","","ESTHERVILLE ","FAREWAY STORE","IA","33383655857","NFY1218QI"
"320500","VILLAGE FARM GRAPE TOMATOES","","","TX1","2016-05-15","","","","HOUSTON","RANDALLS FOOD MARKET","TX","606105437705","NFY1218Q1"
"320501","VILLAGE FARM GRAPE TOMATOES","","","TX1","2016-05-15","","","","HOUSTON","RANDALLS FOOD MARKET","TX","606105437705","NFY1218Q2"
"320508","VEG FRESH FARMS","","","CA2","2016-05-22","","","","BONITA","VONS MARKET","CA","729062118408","NFY1218U2"
"320509","VEG FRESH FARMS","","","CA2","2016-05-22","","","","BONITA","VONS MARKET","CA","729062118408","NFY1218U3"
"320513","FRESH FROM THE FARM GRAPE TOMATOES*","","1","KY1","2016-05-17","","","","HARRODSBURG","WALMART SUPERCENTER","KY","848571000070","NFY1218Q3"
"320514","FRESH FROM THE FARM GRAPE TOMATOES*","","1","KY1","2016-05-17","","","","HARRODSBURG","WALMART SUPERCENTER","KY","848571000070","NFY1218Q4"
"320515","VEG FRESH FARMS","","","CA2","2016-05-22","","","","BONITA","VONS MARKET","CA","729062118408","NFY1218U0"
"320516","VEG FRESH FARMS","","","CA2","2016-05-22","","","","BONITA","VONS MARKET","CA","729062118408","NFY1218U1"
"321362","","","","CA1","2018-04-16","","HU18028003","","PALMDALE","WALMART","CA","24600010030","NFY121R70"
"321368","","","","TX1","2018-04-08","","GS18080008","","HOUSTON","HEB","TX","24600010030","NFY121R74"
"321374","","2023-03-16","","CA1","2018-04-16","","1W0758X","","PALMDALE","WALMART","CA","78742353388","NFY121R6W"
"321380","","2023-03-01","","TX1","2018-04-08","","C8TB26","","HOUSTON","HEB","TX","41220266937","NFY121R71"
"321385","","","","NE1","2018-04-15","","HU17257011","","HASTINGS","WALMART","NE","24600010030","NFY121R7H"
"321390","","","","NC1","2018-04-16","","SS17348043","","ROANOKE RAPIDS","FOOD LION STORE","NC","24600010030","NFY121R7J"
"321395","","","","IN1","2018-04-15","","ILU18052003","","NEWBURGH","SCHNUCK MARKET","IN","24600010030","NFY121R7K"
"321401","","","","GA1","2018-04-16","","S518010016","","LOCUST GROVE","INGLES","GA","24600010030","NFY121R7E"
"321407","","","","GA1","2018-04-16","","2W009 8 X","","LOCUST GROVE","INGLES","GA","86854002964","NFY121R7G"
"321413","","2022-10-19","","PA1","2018-04-07","","1W292 7 -","","PITTSBURGH","SHOP N SAVE","PA","41303019580","NFY121R7W"
"321418","","","","CA2","2018-04-08","","RI18030009","","BONITA","VONS MARKET","CA","24600010030","NFY121R8B"
"321424","","2023-03-15","","NE1","2018-04-15","","3W0748","","HASTINGS","WALMART","NE","78742353388","NFY121R7M"
"321430","","2023-01-22","","IA","2018-04-07","","3W0228X","","ESTHERVILLE","HYVEE FOOD STORE","IA","75450047493","NFY121R7V"
"321436","","","","PA1","2018-04-07","","SS17347020","","PITTSBURGH","SHOP N SAVE","PA","24600010030","NFY121R82"
"321442","","","","AZ1","2018-04-15","","HU17347028","","TUCSON","BASHAS MARKET","AZ","24600010030","NFY121R8D"
"321447","","","","IA","2018-04-07","","HU18029014","","ESTHERVILLE","HYVEE FOOD STORE","IA","24600010030","NFY121R8E"
"321453","","2023-03-26","","NC1","2018-04-16","","3W0858X","","ROANOKE RAPIDS","WALMART","NC","78742353388","NFY121R8H"
"321459","","2022-06-10","","CA2","2018-04-08","","1W617","","BONITA","VONS MARKET","CA","21130520015","NFY121R8F"
"321465","","2023-01-01","","AZ1","2018-04-15","","A8TB19","","TUCSON","BASHAS MARKET","AZ","36800510166","NFY121R8C"
"321476","","2023-02-15","","NJ1","2018-04-08","","1W 0468","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190001057","NFY121R8N"
"321482","","","","KY1","2018-04-08","","SS18073011","","HARRODSBURG","WALMART","KY","24600010030","NFY121R8L"
"321488","","2023-02-16","","KY1","2018-04-08","","1W 0478X","","HARRODSBUG","WALMART","KY","78742353388","NFY121R8K"
"321494","","","","NJ1","2018-04-08","","SS18046018","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","24600010030","NFY121R8M"
"321500","","2023-04-02","","IN1","2018-06-01","","3W0928","","NEWBURGH","WALMART SUPERMARKET","IN","78742353388","NFY121R8Z"
"321507","","2017-08-03","","AZ1","2015-06-02","","7AT 421616 300:29","","TUCSON","BASHAS MARKET","AZ","24000162865","NFY12129I"
"321508","","2017-07-14","","AZ1","2015-06-02","","7AT 421616 316:25","","TUCSON","BASHAS MARKET","AZ","24000162865","NFY12129J"
"321509","","2016-07-24","","IN1","2015-06-01","","7AT 320616 218:42","","NEWBURGH","SCHNUCK MARKET","IN","24000018308","NFY1212AE"
"321513","","2017-08-20","","NJ1","2015-06-01","","7AT 423316 520:36","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","24000162865","NFY12129R"
"321514","","2017-09-11","","NJ1","2015-06-01","","7AT 425516 421:49","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","24000162865","NFY12129S"
"321515","","2017-08-20","","NJ1","2015-06-01","","7AT 423316 520:36","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","24000162865","NFY12129T"
"321516","","2017-10-31","","GA1","2015-06-02","","7AT 430550 2606:09","","LOCUST GROVE","INGLES SUPERMARKET","GA","24000162865","NFY1212A0"
"321517","","2017-10-31","","GA1","2015-06-02","","7AT 430550 2606:07","","LOCUST GROVE","INGLES SUPERMARKET","GA","24000162865","NFY1212A1"
"321518","","2017-10-31","","GA1","2015-06-02","","7AT 430550 2606:08","","LOCUST GROVE","INGLES SUPERMARKET","GA","24000162865","NFY1212A2"
"321522","","2017-08-31","","NE1","2015-06-06","","7EC 424416 117:30","","HASTINGS","WALMART SUPERCENTER","NE","24000162865","NFY1212A6"
"321523","","2017-08-31","","NE1","2015-06-06","","7EC 424416 117:31","","HASTINGS","WALMART SUPERCENTER","NE","24000162865","NFY1212A7"
"321524","","2017-07-03","","NC1","2015-06-02","","7AT 418516 218:27","","ROANOKE RAPIDS","FOOD LION","NC","24000018308","NFY1212AF"
"321529","","2017-08-15","","PA1","2015-05-31","","7AT 422816 302:17","","PITTSBURGH","SHOP N SAVE","PA","24000162865","NFY12129L"
"321530","","2017-08-15","","PA1","2015-05-31","","7AT 422816 302:17","","PITTSBURGH","SHOP N SAVE","PA","24000162865","NFY12129M"
"321531","","2017-08-15","","PA1","2015-05-31","","7AT 422816 302:17","","PITTSBURGH","SHOP N SAVE","PA","24000162865","NFY12129N"
"321532","","2017-08-15","","CA1","2015-05-30","","7AT 422816 201:16","","PALMDALE","SAMS CLUB","CA","24000162865","NFY1212A3"
"321533","","2017-08-15","","CA1","2015-05-30","","7AT 422816 201:17","","PALMDALE","SAMS CLUB","CA","24000162865","NFY1212A4"
"321534","","2017-08-15","","CA1","2015-05-30","","7AT 422816 501:41","","PALMDALE","SAMS CLUB","CA","24000162865","NFY1212A5"
"321539","","2016-08-29","","CA2","2015-05-31","","7AT 324207 D14:44","","BONITA","VONS MARKET","CA","24000162865","NFY12129O"
"321540","","2016-08-29","","CA2","2015-05-31","","7AT 324207 D14:44","","BONITA","VONS MARKET","CA","24000162865","NFY12129P"
"321541","","2016-08-29","","CA2","2015-05-31","","7AT 324207 A14:43","","BONITA","VONS MARKET","CA","24000162865","NFY12129Q"
"321542","","2017-08-08","","KY1","2015-06-02","","7AT 422116 301:46","","HARRODSBURG","WALMART SUPERCENTER","KY","24000162865","NFY1212A9"
"321543","","2017-09-09","","KY1","2015-06-02","","7EC 425316 303:08","","HARRODSBURG","WALMART SUPERCENTER","KY","24000162865","NFY1212AA"
"321544","","2017-08-08","","KY1","2015-06-02","","7AT 422116 301:46","","HARRODSBURG","WALMART SUPERCENTER","KY","24000162865","NFY1212AB"
"321548","","2017-11-01","","IA","2015-05-30","","7AT 430650 3602:39","","ESTHERVILLE","HY VEE FOOD STORE","IA","24000162865","NFY12129U"
"321549","","2017-11-01","","IA","2015-05-30","","7AT 430650 3602:44","","ESTHERVILLE","HY VEE FOOD STORE","IA","24000162865","NFY12129V"
"321550","","2017-07-26","","IA","2015-05-30","","7EC 420816 400:42","","ESTHERVILLE","HY VEE FOOD STORE","IA","24000162865","NFY12129W"
"321551","","2018-04-24","","TX1","2015-06-02","","7AT 511550 2210:49","","HOUSTON","KROGER","TX","24000162865","NFY12129X"
"321552","","2017-09-19","","TX1","2015-06-02","","7AT 426316 518:37","","HOUSTON","KROGER","TX","24000162865","NFY12129Y"
"321553","","2017-09-19","","TX1","2015-06-02","","7AT 426316 518:38","","HOUSTON","KROGER","TX","24000162865","NFY12129Z"
"321558","SAFEWAY KITCHENS CUT GREEN BEANS","2017-12-01","","CA2","2015-05-31","","J4EI051G 15:47 5988 ","","BONITA","VONS MARKET","CA","21130331215","NFY1212B5"
"321559","SAFEWAY KITCHENS CUT GREEN BEANS","2017-12-01","","CA2","2015-05-31","","J4EI051G 15:47 5988","","BONITA","VONS MARKET","CA","21130331215","NFY1212B6"
